CustomerID,Age,Income,Annual_Spend,Number_of_Visits,Preferred_Channel,Customer_Satisfaction
4070,33,106134,3561.18,19,In-Store,Medium
4071,51,59306,4109.71,5,In-Store,High
4072,47,129329,7086.8,5,Mobile,High
4073,42,33621,4270.35,26,Online,High
4074,54,92905,1633.84,23,Online,Medium
4075,37,68947,5924.76,9,Mobile,Medium
4076,68,71770,2235.84,8,Online,High
4077,53,39331,4952.2,11,Mobile,High
4078,48,66709,9412.22,3,Mobile,Medium
4079,28,133084,4717.94,20,Online,High
4080,69,139810,6507.55,20,Online,High
4081,57,70044,3215.28,5,Online,Medium
4082,38,36321,6282.15,12,Online,High
4083,45,88015,7010.64,29,In-Store,High
4084,26,146815,8294.55,17,Online,High
4085,40,84357,3469.65,26,Mobile,Medium
4086,44,43827,3168.24,17,Online,High
4087,69,42599,3325.14,2,Online,High
4088,41,140409,4752.73,20,In-Store,High
4089,64,40461,6099.72,3,Mobile,Medium
4090,65,55054,8906.67,10,Mobile,High
4091,72,108435,9984.84,6,Online,Medium
4092,55,53902,4052.12,2,Mobile,Medium
4093,40,69783,1455.96,25,In-Store,Low
4094,27,129286,8305.69,21,Online,High
4095,63,48165,5459.69,18,Mobile,High
4096,20,126401,7456.78,17,Online,Medium
4097,36,79397,6538.85,22,Online,Medium
4098,65,117799,6676.29,22,In-Store,High
4099,46,110452,8992.32,2,In-Store,High
4100,29,117441,5556.86,10,Mobile,High
4101,28,71362,2354.84,13,Online,High
4102,67,46828,1668.22,5,In-Store,Medium
4103,48,137347,9758.95,7,Online,High
4104,53,102274,2683.86,1,Online,High
4105,46,66487,2650.51,6,Online,Low
4106,21,88947,6796.49,13,Mobile,High
4107,37,31788,5038.98,20,Mobile,High
4108,38,146642,7277.54,2,Online,High
4109,65,122411,7222.8,27,Online,Medium
4110,32,77692,5248.84,13,In-Store,Low
4111,23,135054,1703.57,17,Online,Medium
4112,23,55593,8923.02,10,Online,High
4113,74,88487,2491.66,22,Mobile,Low
4114,69,54005,4590.8,21,In-Store,High
4115,24,84261,9166.55,23,Online,High
4116,42,134265,9420.51,14,Online,High
4117,57,68971,5996.41,4,Online,Medium
4118,55,126802,8705.85,5,In-Store,Low
4119,64,100134,6993.6,21,In-Store,Medium
4120,25,75509,5055.85,20,Mobile,Medium
4121,55,46373,4710.7,24,Mobile,Medium
4122,22,53928,1639.48,25,Online,Medium
4123,70,95049,4696.69,27,Online,High
4124,41,73726,4623.95,10,In-Store,High
4125,53,56588,4984.87,8,Online,High
4126,33,131706,3386.84,12,Online,Medium
4127,52,123771,8949.38,15,In-Store,High
4128,21,147025,591.28,8,Mobile,High
4129,36,91321,1403.22,29,Mobile,Medium
4130,31,85211,6862.88,3,In-Store,High
4131,64,51524,4377.17,23,Online,High
4132,21,84994,8531.27,18,Mobile,High
4133,64,34254,3461.69,6,Online,High
4134,55,39987,8632.7,19,Online,Medium
4135,72,112350,820.51,12,Online,High
4136,47,31821,9926.13,15,In-Store,Low
4137,40,125791,9677.69,12,Mobile,High
4138,39,117024,9726.51,20,Online,High
4139,39,89931,918.46,26,In-Store,Medium
4140,35,47351,9242.62,1,In-Store,Medium
4141,41,143689,6734.91,9,Online,High
4142,61,50718,5116.85,27,In-Store,Medium
4143,48,46990,3610.05,6,In-Store,Medium
4144,54,55702,9195.19,28,Online,Medium
4145,25,30697,1330.84,29,Online,Medium
4146,38,144069,8618.93,28,In-Store,Low
4147,45,94029,3059.93,18,Online,High
4148,29,94902,5433.53,23,In-Store,High
4149,23,41574,5585.44,11,Online,High
4150,67,127327,8768.67,18,Online,High
4151,40,44383,789.98,6,Online,High
4152,43,139372,9006.64,22,Mobile,High
4153,36,72630,1448.27,5,Online,Medium
4154,31,39313,8715.63,6,In-Store,High
4155,56,112357,9165.45,18,Online,Medium
4156,21,90076,7820.23,10,Online,High
4157,74,42002,834.22,21,In-Store,High
4158,32,58327,3883.21,7,In-Store,High
4159,67,147116,6442.89,23,Online,Low
4160,41,134352,1793.89,14,Online,High
4161,70,114464,8328.53,15,Online,High
4162,31,57262,509.92,11,Online,High
4163,65,145989,7106.24,2,In-Store,High
4164,67,119690,5866.89,14,Online,High
4165,42,106174,2524.87,9,In-Store,High
4166,38,97696,6366.0,27,In-Store,High
4167,18,70852,8658.84,17,Mobile,High
4168,70,62769,7264.05,1,Online,High
4169,65,122998,6624.2,18,Online,High
4170,68,67273,6980.14,21,In-Store,High
4171,47,76125,4915.67,3,In-Store,Medium
4172,71,95120,4271.9,22,Online,Low
4173,29,85200,1472.01,21,In-Store,Medium
4174,58,145962,756.96,22,Online,High
4175,45,58063,4726.11,7,Online,Medium
4176,63,87513,6427.76,18,Online,High
4177,51,94234,3579.61,27,Online,Low
4178,42,85887,5743.1,20,Online,High
4179,54,123783,7071.17,25,Online,High
4180,56,60742,879.98,22,In-Store,Low
4181,27,132894,6608.86,7,Online,Medium
4182,70,31374,8503.98,21,Online,High
4183,21,148062,7802.79,11,Online,High
4184,61,60183,1131.93,1,Online,High
4185,19,135287,4008.21,20,Mobile,High
4186,33,70088,5238.35,14,In-Store,Medium
4187,22,104025,4318.73,29,Online,Medium
4188,22,67540,2248.39,23,In-Store,High
4189,54,88015,9016.06,6,Online,High
4190,36,107584,9402.34,7,In-Store,High
4191,69,132911,1401.58,28,In-Store,Low
4192,32,70279,2695.04,29,Online,High
4193,46,108998,504.2,7,In-Store,High
4194,35,134928,5375.22,10,In-Store,High
4195,41,143036,8139.93,2,In-Store,Medium
4196,64,101550,4209.55,8,Mobile,Low
4197,70,101495,3295.59,24,Online,High
4198,34,102201,4569.84,27,In-Store,High
4199,24,85511,4724.25,15,Online,High
4200,25,83471,9552.94,22,Online,Medium
